author_did,pagerank,weighted_degree,reliability,leaning,pr_norm,deg_norm,combined_score
did:plc:rpwduj2dvwfb3qkzev3eraad,0.0011162571474662283,8.177365793605864,reliable,left,0.7066911397270335,0.5727537045587504,1.2794448442857838
did:plc:7a4j47j42ezdr3au7pxdlzjt,0.0009581831346628097,4.830661064168701,reliable,left,0.6026588158041044,0.3383460016101725,0.9410048174142769
did:plc:tax3e7cjn3dzxpgfjslqq56y,0.0008223633479938266,3.929962382001247,questionable,left,0.5132725353440616,0.27525985383065465,0.7885323891747162
did:plc:ynfgcbefjr66ifq654yqkinv,0.0006303699904470175,5.314585886548341,reliable,left,0.38691707179168444,0.37224074739280605,0.7591578191844905
did:plc:k4jt6heuiamymgi46yeuxtpt,0.0006787557658206886,3.233583421931872,reliable,left,0.4187609186559742,0.22648453434227117,0.6452454529982454
did:plc:v37jbm7ajyevhnygruyftjbc,0.0006910479467411747,2.9480007366126495,reliable,left,0.426850699667794,0.20648193875062967,0.6333326384184237
did:plc:yfj2lagcs4k4c4ahvsbop4sy,0.000513430417065132,4.008791979165035,reliable,left,0.30995631548696234,0.2807811848978961,0.5907375003848585
did:plc:kpdw2o2y5peja6svswklrmdu,0.000589117928656836,2.9580674477243813,reliable,center,0.3597680940531246,0.20718702474378356,0.5669551187969082
did:plc:6rszfmvermvgmn73adf65qoa,0.0005416342576899302,2.946486306662964,reliable,left,0.3285179438768137,0.20637586603896801,0.5348938099157817
did:plc:abdjrgoif5d63h72bvvhyfdv,0.0005398501780863377,2.7893798903064555,questionable,center,0.3273437980198597,0.19537192121745833,0.522715719237318
did:plc:e7gbntp2tzobn7cfi37viei3,0.0005775667250237495,2.430546586996657,reliable,left,0.3521659680822264,0.1702387537675632,0.5224047218497896
did:plc:jzhdjrd25wycuuxou4lahmfb,0.0005309950429774243,2.7515164489663104,reliable,left,0.32151601983106015,0.19271991483272888,0.514235934663789
did:plc:h2bckglsnvtxxnoxma7gkcwa,0.0005270018744802988,2.6478686270543386,reliable,left,0.31888801924320637,0.18546028190595598,0.5043483011491623
did:plc:3l6h5tayy6vycige2igmorv4,0.0005453553861042413,2.415677739889097,reliable,left,0.3309669083187922,0.16919731970697222,0.5001642280257644
did:plc:k5gw4742e3idz5ycrv3dnwd6,0.0005423632608976048,2.440352200332567,reliable,left,0.32899771848679954,0.17092555212113622,0.49992327060793573
did:plc:kqsdfw4cj532lp7bidtdzyyz,0.0004828555706785628,2.2467777712280395,reliable,left,0.2898342709663555,0.1573673386113338,0.4472016095776893
did:plc:hib3z6udox62nbvehnqgrjm4,0.0004662385710668062,2.2918699337095476,reliable,center,0.2788982223674801,0.16052565435257699,0.43942387672005706
did:plc:du3vwjfnqydkc2ttllwwhfef,0.00045980402521714425,2.168247313036582,reliable,left,0.27466349240613314,0.15186695964026914,0.4265304520464023
did:plc:746sksvmlwppi6zda5c7rtzb,0.0004320985044704555,2.2404472943226854,reliable,center,0.2564298203581074,0.1569239434898877,0.4133537638479951
did:plc:v4jfgpnpcxd2be2hekn5iocf,0.0004376908094037101,1.9714749484592962,questionable,left,0.2601102512396568,0.1380847584264564,0.3981950096661132
did:plc:shxqhlplcrwpegumqqltpvzz,0.00040806899802580256,2.000911681458912,questionable,left,0.24061542206566286,0.14014654681909747,0.3807619688847603
did:plc:4mtxbwb2bss5s7awrh3m6dug,0.0004126943799419597,1.9512178368570041,reliable,left,0.24365949756697455,0.1366659230696053,0.3803254206365798
did:plc:dawci6skpmelnlja3lygz3p7,0.00041119573479470327,1.816926480734623,reliable,center,0.2426732030164668,0.12725997576938114,0.36993317878584797
did:plc:wfovpxilrfvxvyecoguoza3y,0.0003902537789274327,1.8683726282090987,reliable,left,0.2288907962961861,0.130863333170162,0.3597541294663481
did:plc:gchmzqms7ibr2fkpzggmufoe,0.00037831867366029497,1.9389728985354981,questionable,left,0.22103601539207107,0.13580827111141358,0.35684428650348465
did:plc:cvghlt3lk3pbgubsah3t4wl2,0.00037947091308386516,1.564185933520464,reliable,left,0.22179433197316964,0.10955768772665886,0.3313520196998285
did:plc:fvwtf55iqiihc7ct543i2p6u,0.00035422267753085684,1.7714661149228486,reliable,left,0.2051778586329283,0.12407587057139069,0.329253729204319
did:plc:4l5ozv7lw2onf5ztpatpo5nr,0.00037048962515929916,1.5997338267032684,reliable,left,0.21588352957090828,0.11204751000238856,0.32793103957329683
did:plc:axduljyeg6buqytes4fqlh7b,0.00036796797237099,1.5892520963410048,reliable,left,0.2142239689951875,0.1113133555024313,0.3255373244976188
did:plc:ormie3tjweyhnqckjlzowoxg,0.00035345293210943833,1.4718424200627518,reliable,left,0.2046712705885115,0.10308982377635938,0.30776109436487087
